[5/5/2025, 8:19:14 PM]:[INFO] - [wm] already signed in?,true
[5/5/2025, 8:19:22 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setThemePreference
[5/5/2025, 8:19:31 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setThemePreference
[5/5/2025, 8:19:32 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setWorkspaceProperties
[5/5/2025, 8:19:32 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setWorkspaceProperties
[5/5/2025, 8:19:32 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setLocales
[5/5/2025, 8:19:32 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,getKeyboardLayout
[5/5/2025, 8:19:33 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,getActiveNSScreens
[5/6/2025, 5:44:55 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setWorkspaceProperties
[5/6/2025, 5:47:39 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setWorkspaceProperties
[5/6/2025, 6:01:37 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,setThemePreference
[5/6/2025, 6:01:38 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,setTabPreviewData
[5/6/2025, 6:01:38 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setWorkspaceProperties
[5/6/2025, 6:01:44 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,setLocales
[5/6/2025, 6:01:44 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,setEditorType
[5/6/2025, 6:01:44 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,getKeyboardLayout
[5/6/2025, 6:01:44 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,spellingGetLanguages
[5/6/2025, 6:01:45 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,setIsLibrary
[5/6/2025, 6:01:45 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,setIsTeamTemplate
[5/6/2025, 6:01:46 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,setRealtimeToken
[5/6/2025, 6:01:46 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,setRealtimeToken
[5/6/2025, 6:01:46 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,updateViewport
[5/6/2025, 6:01:47 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,getActiveNSScreens
[5/6/2025, 6:01:47 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,setTabColor
[5/6/2025, 6:01:52 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,getActiveNSScreens
[5/6/2025, 6:01:52 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,setEditFilePermissions
[5/6/2025, 6:01:52 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,getActiveNSScreens
[5/6/2025, 6:01:52 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,getKeyboardLayout
[5/6/2025, 6:01:53 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,getActiveNSScreens
[5/6/2025, 6:01:53 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,setEditFilePermissions
[5/6/2025, 6:01:53 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,setTabPreviewData
[5/6/2025, 6:01:54 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,updateViewport
[5/6/2025, 6:01:59 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,updateViewport
[5/6/2025, 6:02:06 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,updateViewport
[5/6/2025, 6:02:15 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,updateViewport
[5/6/2025, 6:02:21 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,updateViewport
[5/6/2025, 6:02:23 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,updateViewport
[5/6/2025, 6:06:51 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,updateViewport
[5/6/2025, 6:06:59 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,updateViewport
[5/6/2025, 6:07:17 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,updateViewport
[5/6/2025, 6:07:26 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,updateViewport
[5/6/2025, 6:10:15 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,setTabPreviewData
[5/6/2025, 6:10:15 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,setTabPreviewData
[5/6/2025, 6:10:35 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,updateViewport
[5/6/2025, 6:10:35 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,spellingGetLanguages
[5/6/2025, 6:10:37 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,setTabPreviewData
[5/6/2025, 6:10:37 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,setTabPreviewData
[5/6/2025, 6:10:43 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,updateViewport
[5/6/2025, 6:10:50 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,updateViewport
[5/6/2025, 6:18:28 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,setTabPreviewData
[5/6/2025, 6:18:29 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,setTabPreviewData
[5/6/2025, 6:47:22 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,setTabPreviewData
[5/6/2025, 7:04:57 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,updateViewport
[5/6/2025, 7:06:17 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,updateViewport
[5/6/2025, 7:06:33 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,updateViewport
[5/6/2025, 7:06:36 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,updateViewport
[5/6/2025, 7:06:41 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,updateViewport
[5/6/2025, 7:06:55 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,triggerHaptic
[5/6/2025, 7:06:55 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,triggerHaptic
[5/6/2025, 7:06:55 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,triggerHaptic
[5/6/2025, 7:06:55 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,triggerHaptic
[5/6/2025, 7:06:55 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,triggerHaptic
[5/6/2025, 7:06:55 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,triggerHaptic
[5/6/2025, 7:06:55 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,triggerHaptic
